"證券代號 TT","可借券賣出股數"
"證券代號 TT","可借券賣出股數"
"5383 TT","7,527"
"2397 TT","116,184"
"5384 TT","3,397"
"2399 TT","32,372"
"5386 TT","1,541"
"2401 TT","1,359,828"
"5392 TT","44,261"
"2402 TT","441,780"
"5403 TT","83,057"
"2404 TT","305,366"
"5410 TT","75,441"
"2405 TT","3,227,327"
"5425 TT","655,465"
"2406 TT","1,251,868"
"5426 TT","21,675"
"2408 TT","1,378,594"
"5432 TT","1,323"
"2409 TT","15,044,760"
"5438 TT","105,102"
"2412 TT","1,777,390"
"5439 TT","20,388"
"2413 TT","144,398"
"5443 TT","805,928"
"2414 TT","35,311"
"5452 TT","192,899"
"2415 TT","107,878"
"5457 TT","191,861"
"2417 TT","82,811"
"5460 TT","57,239"
"2419 TT","1,622,257"
"5464 TT","13,165"
"2420 TT","109,779"
"5465 TT","45,905"
"2421 TT","784,929"
"5474 TT","106,658"
"2423 TT","22,524"
"5475 TT","98,875"
"2424 TT","1,795"
"5478 TT","268,263"
"2425 TT","67,558"
"5480 TT","36,649"
"2426 TT","336,765"
"5481 TT","73,279"
"2427 TT","77,183"
"5483 TT","901,227"
"2428 TT","111,875"
"5487 TT","107,752"
"2430 TT","41,107"
"5488 TT","13,337"
"2431 TT","218,102"
"5489 TT","13,399"
"2433 TT","24,579"
"5490 TT","341,831"
"2436 TT","932,829"
"5491 TT","56,550"
"2437 TT","57,542"
"5493 TT","19,580"
"2439 TT","774,215"
"5498 TT","49,639"
"2441 TT","106,804"
"5508 TT","136,482"
"2442 TT","69,225"
"5511 TT","35,229"
"2443 TT","36,117"
"5512 TT","217,326"
"2444 TT","319,490"
"5514 TT","17,719"
"2448 TT","2,888,751"
"5516 TT","3,693"
"2449 TT","1,909,017"
"5520 TT","3,461"
"2450 TT","23,073"
"5523 TT","2,210"
"2451 TT","136,282"
"5529 TT","54,993"
"2453 TT","93,296"
"5530 TT","34,233"
"2454 TT","1,345,851"
"5536 TT","19,503"
"2455 TT","1,301,643"
"5603 TT","53,781"
"2456 TT","485,581"
"5604 TT","6,129"
"2457 TT","241,252"
"5609 TT","21,245"
"2458 TT","689,596"
"5703 TT","4,213"
"2459 TT","14,984"
"5704 TT","68,056"
"2460 TT","20,969"
"5820 TT","222,804"
"2461 TT","127,468"
"5903 TT","88,712"
"2462 TT","28,782"
"5904 TT","11,075"
"2464 TT","559,530"
"5905 TT","64,036"
"2466 TT","17,227"
"6015 TT","82,647"
"2467 TT","169,315"
"6016 TT","87,820"
"2468 TT","13,400"
"6020 TT","8,813"
"2471 TT","51,883"
"6021 TT","56,505"
"2472 TT","231,737"
"6022 TT","71,965"
"2474 TT","1,278,006"
"6023 TT","37,072"
"2475 TT","521,251"
"6024 TT","76,341"
"2476 TT","38,341"
"6101 TT","8,798"
"2477 TT","52,886"
"6104 TT","376,709"
"2478 TT","157,169"
"6105 TT","88,715"
"2480 TT","44,386"
"6107 TT","82,727"
"2481 TT","1,943,273"
"6109 TT","23,013"
"2482 TT","238,226"
"6111 TT","306,309"
"2483 TT","63,009"
"6113 TT","25,030"
"2484 TT","515,275"
"6114 TT","52,905"
"2485 TT","1,213,729"
"6118 TT","33,221"
"2486 TT","65,603"
"6121 TT","212,885"
"2488 TT","390,088"
"6122 TT","15,816"
"2489 TT","1,408,765"
"6123 TT","173,141"
"2492 TT","1,615,831"
"6124 TT","4,786"
"2493 TT","82,097"
"6125 TT","236,628"
"2495 TT","343,610"
"6126 TT","68,645"
"2497 TT","272,579"
"6127 TT","25,252"
"2498 TT","7,876,784"
"6129 TT","85,306"
"2499 TT","290,926"
"6130 TT","4,032"
"2501 TT","240,004"
"6134 TT","10,241"
"2504 TT","314,227"
"6138 TT","158,392"
"2505 TT","88,866"
"6140 TT","7,711"
"2506 TT","21,671"
"6143 TT","426,569"
"2509 TT","54,042"
"6146 TT","38,730"
"2511 TT","688,176"
"6147 TT","832,075"
"2514 TT","193,186"
"6148 TT","49,246"
"2515 TT","1,061,654"
"6151 TT","82,966"
"2516 TT","140,576"
"6154 TT","7,066"
"2520 TT","559,595"
"6156 TT","63,790"
"2524 TT","37,420"
"6158 TT","180,262"
"2527 TT","33,100"
"6160 TT","192,873"
"2528 TT","3,564"
"6161 TT","24,897"
"2530 TT","206,703"
"6163 TT","199,655"
"2534 TT","115,882"
"6169 TT","164,816"
"2535 TT","44,424"
"6170 TT","27,443"
"2536 TT","103,804"
"6171 TT","35,948"
"2537 TT","233,724"
"6173 TT","1,216,632"
"2538 TT","402,727"
"6174 TT","7,567"
"2539 TT","44,814"
"6175 TT","24,627"
"2540 TT","2,374"
"6179 TT","8,967"
"2542 TT","2,296,693"
"6180 TT","243,558"
"2543 TT","14,113"
"6182 TT","498,971"
"2545 TT","231,856"
"6185 TT","100,092"
"2546 TT","20,285"
"6186 TT","153,073"
"2547 TT","251,508"
"6187 TT","368,779"
"2548 TT","462,884"
"6188 TT","238,313"
"2597 TT","18,488"
"6190 TT","38,412"
"2601 TT","423,863"
"6194 TT","27,294"
"2603 TT","1,247,881"
"6195 TT","11,939"
"2605 TT","185,423"
"6203 TT","10,156"
"2606 TT","534,949"
"6204 TT","3,661"
"2607 TT","142,859"
"6207 TT","168,704"
"2608 TT","521,882"
"6208 TT","90,121"
"2609 TT","1,420,509"
"6210 TT","37,622"
"2610 TT","2,090,922"
"6212 TT","6,857"
"2611 TT","32,289"
"6217 TT","302,038"
"2612 TT","123,393"
"6218 TT","13,300"
"2613 TT","30,565"
"6219 TT","10,846"
"2615 TT","1,963,762"
"6220 TT","213,662"
"2616 TT","30,119"
"6221 TT","23,526"
"2617 TT","164,454"
"6223 TT","289,755"
"2618 TT","3,067,441"
"6227 TT","405,218"
"2634 TT","732,144"
"6228 TT","19,363"
"2637 TT","289,837"
"6229 TT","101,777"
"2642 TT","27,792"
"6231 TT","13,594"
"2701 TT","8,105"
"6233 TT","68,263"
"2702 TT","27,961"
"6234 TT","267,421"
"2704 TT","14,761"
"6237 TT","284,637"
"2705 TT","111,156"
"6238 TT","584,849"
"2706 TT","15,735"
"6241 TT","18,572"
"2707 TT","69,649"
"6244 TT","1,285,199"
"2712 TT","4,193"
"6245 TT","204,788"
"2722 TT","1,704"
"6248 TT","1,025"
"2723 TT","95,184"
"6261 TT","103,849"
"2727 TT","47,082"
"6263 TT","21,284"
"2731 TT","61,828"
"6264 TT","10,358"
"2801 TT","1,017,107"
"6265 TT","51,603"
"2809 TT","258,067"
"6266 TT","378,750"
"2812 TT","404,351"
"6270 TT","32,859"
"2816 TT","36,684"
"6274 TT","555,977"
"2820 TT","337,590"
"6275 TT","40,415"
"2823 TT","2,697,472"
"6279 TT","182,720"
"2832 TT","39,096"
"6284 TT","45,731"
"2834 TT","1,409,484"
"6287 TT","6,658"
"2836 TT","152,032"
"6290 TT","328,526"
"2838 TT","84,628"
"6292 TT","6,698"
"2841 TT","676,237"
"6294 TT","68,691"
"2845 TT","334,861"
"6298 TT","52,465"
"2849 TT","44,663"
"6404 TT","166,629"
"2850 TT","54,134"
"6411 TT","462,058"
"2851 TT","19,905"
"6417 TT","60,204"
"2852 TT","70,393"
"6426 TT","9,352"
"2855 TT","128,571"
"6432 TT","24,381"
"2856 TT","159,280"
"6488 TT","174,929"
"2867 TT","444,952"
"6496 TT","22,963"
"2880 TT","1,574,220"
"6506 TT","126,224"
"2881 TT","5,158,385"
"6508 TT","21,285"
"2882 TT","4,750,317"
"6509 TT","540,803"
"2883 TT","5,420,310"
"6510 TT","141,091"
"2884 TT","3,485,797"
"6603 TT","34,531"
"2885 TT","5,964,504"
"6609 TT","61,142"
"2886 TT","4,390,222"
"6803 TT","24,990"
"2887 TT","3,946,798"
"8024 TT","20,701"
"2888 TT","4,765,279"
"8027 TT","10,652"
"2889 TT","481,144"
