"證券代號 TT","可借券賣出股數"
"6208 TT","124,258"
"2610 TT","1,958,842"
"6210 TT","23,556"
"2611 TT","24,750"
"6212 TT","20,352"
"2612 TT","72,547"
"6217 TT","282,684"
"2613 TT","23,692"
"6218 TT","7,320"
"2615 TT","1,178,233"
"6219 TT","12,452"
"2616 TT","20,629"
"6220 TT","215,332"
"2617 TT","93,031"
"6221 TT","19,256"
"2618 TT","2,702,262"
"6223 TT","218,937"
"2634 TT","922,364"
"6227 TT","471,254"
"2637 TT","206,116"
"6228 TT","12,232"
"2642 TT","13,924"
"6229 TT","107,923"
"2701 TT","7,415"
"6231 TT","82,717"
"2702 TT","16,818"
"6233 TT","39,264"
"2704 TT","20,553"
"6234 TT","291,854"
"2705 TT","80,698"
"6237 TT","162,961"
"2706 TT","13,731"
"6238 TT","534,316"
"2707 TT","96,363"
"6241 TT","18,674"
"2712 TT","4,044"
"6244 TT","1,461,508"
"2722 TT","1,987"
"6245 TT","184,336"
"2723 TT","76,219"
"6248 TT","801"
"2727 TT","45,719"
"6261 TT","80,143"
"2731 TT","40,503"
"6263 TT","17,663"
"2801 TT","1,057,882"
"6264 TT","12,156"
"2809 TT","184,792"
"6265 TT","51,438"
"2812 TT","318,667"
"6266 TT","482,910"
"2816 TT","26,833"
"6270 TT","69,165"
"2820 TT","227,054"
"6274 TT","638,210"
"2823 TT","1,904,837"
"6275 TT","42,868"
"2832 TT","32,408"
"6279 TT","275,049"
"2834 TT","1,255,839"
"6284 TT","44,039"
"2836 TT","122,835"
"6287 TT","4,787"
"2838 TT","84,591"
"6290 TT","294,939"
"2841 TT","549,995"
"6292 TT","5,102"
"2845 TT","283,815"
"6294 TT","42,882"
"2849 TT","29,273"
"6298 TT","38,875"
"2850 TT","47,034"
"6404 TT","157,025"
"2851 TT","17,226"
"6411 TT","350,615"
"2852 TT","57,387"
"6417 TT","56,347"
"2855 TT","98,838"
"6426 TT","5,464"
"2856 TT","120,504"
"6432 TT","11,767"
"2867 TT","371,830"
"6488 TT","124,449"
"2880 TT","1,504,661"
"6496 TT","36,331"
"2881 TT","4,205,806"
"6506 TT","108,001"
"2882 TT","4,216,061"
"6508 TT","17,626"
"2883 TT","4,654,874"
"6509 TT","524,071"
"2884 TT","3,152,937"
"6510 TT","117,980"
"2885 TT","4,548,994"
"6603 TT","16,575"
"2886 TT","4,266,089"
"6609 TT","44,015"
"2887 TT","4,503,780"
"6803 TT","28,120"
"2888 TT","3,825,848"
"8024 TT","18,264"
"2889 TT","525,588"
"8027 TT","9,623"
"2890 TT","3,188,477"
